date,positive,positiveIncrease,death,deathIncrease,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,totalTestResults,totalTestResultsIncrease,recovered,states,positihospitalizedCurrentlyve,positividad
2020-01-19,1,1,0,0,0,0,0,0,0,0,0,1,0,inf
2020-01-20,1,0,0,0,0,0,0,0,0,0,0,1,0,
2020-01-21,2,1,0,0,0,0,0,0,0,0,0,1,0,inf
2020-01-22,2,0,0,0,0,0,0,0,1,1,0,2,0,0.0
2020-01-23,2,0,0,0,0,0,0,0,2,1,0,2,0,0.0
2020-01-24,2,0,0,0,0,0,0,0,2,0,0,2,0,
2020-01-25,2,0,0,0,0,0,0,0,2,0,0,2,0,
2020-01-26,2,0,0,0,0,0,0,0,2,0,0,2,0,
2020-01-27,2,0,0,0,0,0,0,0,3,1,0,3,0,0.0
2020-01-28,2,0,0,0,0,0,0,0,3,0,0,3,0,
2020-01-29,2,0,0,0,0,0,0,0,5,2,0,4,0,0.0
2020-01-30,2,0,0,0,0,0,0,0,5,0,0,4,0,
2020-01-31,2,0,0,0,0,0,0,0,8,3,0,4,0,0.0
2020-02-01,2,0,0,0,0,0,0,0,8,0,0,4,0,
2020-02-02,2,0,0,0,0,0,0,0,8,0,0,4,0,
2020-02-03,3,1,0,0,0,0,0,0,11,3,0,4,0,33.33333333333333
2020-02-04,3,0,0,0,0,0,0,0,15,4,0,4,0,0.0
2020-02-05,3,0,0,0,0,0,0,0,15,0,0,4,0,
2020-02-06,5,2,0,0,0,0,0,0,16,1,0,4,0,200.0
2020-02-07,5,0,0,0,0,0,0,0,16,0,0,4,0,
2020-02-08,5,0,0,0,0,0,0,0,18,2,0,4,0,0.0
2020-02-09,5,0,0,0,0,0,0,0,18,0,0,4,0,
2020-02-10,5,0,0,0,0,0,0,0,19,1,0,5,0,0.0
2020-02-11,5,0,0,0,0,0,0,0,20,1,0,5,0,0.0
2020-02-12,5,0,0,0,0,0,0,0,21,1,0,5,0,0.0
2020-02-13,6,1,0,0,0,0,0,0,22,1,0,5,0,100.0
2020-02-14,7,1,0,0,0,0,0,0,22,0,0,5,0,inf
2020-02-15,7,0,0,0,0,0,0,0,26,4,0,6,0,0.0
2020-02-16,7,0,0,0,0,0,0,0,28,2,0,6,0,0.0
2020-02-17,7,0,0,0,0,0,0,0,29,1,0,6,0,0.0
2020-02-18,7,0,0,0,0,0,0,0,29,0,0,6,0,
2020-02-19,7,0,0,0,0,0,0,0,35,6,0,6,0,0.0
2020-02-20,7,0,0,0,0,0,0,0,36,1,0,6,0,0.0
2020-02-21,7,0,0,0,0,0,0,0,37,1,0,6,0,0.0
2020-02-22,7,0,0,0,0,0,0,0,38,1,0,6,0,0.0
2020-02-23,8,1,0,0,0,0,0,0,38,0,0,6,0,inf
2020-02-24,9,1,0,0,0,0,0,0,40,2,0,6,0,50.0
2020-02-25,10,1,0,0,0,0,0,0,41,1,0,6,0,100.0
2020-02-26,12,2,2,2,0,0,0,0,41,0,0,6,0,inf
2020-02-27,13,1,2,0,0,0,0,0,6487,6446,0,7,0,0.015513496742165683
2020-02-28,15,2,4,2,0,0,0,0,6490,3,0,7,0,66.66666666666666
2020-02-29,18,3,5,1,0,0,0,0,6555,65,0,8,0,4.615384615384616
2020-03-01,42,24,8,3,0,0,0,0,6651,96,0,11,0,25.0
2020-03-02,72,30,11,3,0,0,0,0,6854,203,0,12,0,14.77832512315271
2020-03-03,114,42,14,3,0,0,0,0,7133,279,0,16,0,15.053763440860216
2020-03-04,242,128,16,2,0,4,0,0,8023,890,0,26,0,14.382022471910114
2020-03-05,307,65,20,4,0,5,0,0,9538,1515,0,32,0,4.29042904290429
2020-03-06,445,138,26,6,0,6,0,0,11715,2177,0,40,0,6.33899862195682
2020-03-07,587,142,27,1,0,6,0,0,12646,931,0,51,0,15.252416756176155
2020-03-08,757,170,31,4,0,6,0,0,13776,1130,0,51,0,15.04424778761062
2020-03-09,1061,304,35,4,0,9,0,0,15831,2055,0,51,0,14.793187347931875
2020-03-10,1497,436,37,2,0,9,0,0,19153,3322,0,51,0,13.124623720650211
2020-03-11,1915,418,43,6,0,12,0,0,23600,4447,0,51,0,9.399595232741174
2020-03-12,2592,677,52,9,0,17,0,0,30283,6683,0,51,0,10.130181056411791
2020-03-13,3450,858,57,5,0,23,0,0,40016,9733,0,51,0,8.815370389396897
2020-03-14,4476,1026,65,8,0,27,0,0,49832,9816,0,51,0,10.452322738386307
2020-03-15,5738,1262,80,15,0,37,0,0,60034,10202,0,51,0,12.37012350519506
2020-03-16,7449,1711,102,22,0,43,0,0,83148,23114,0,56,0,7.402440079605434
2020-03-17,9577,2128,126,24,325,76,0,0,109903,26755,0,56,325,7.953653522706036
2020-03-18,12934,3357,152,26,416,94,0,0,142099,32196,0,56,416,10.426761088333954
2020-03-19,17540,4606,203,51,617,128,0,0,181357,39258,0,56,617,11.732640480921086
2020-03-20,23640,6100,273,70,1042,172,0,0,230912,49555,0,56,1042,12.309555039854708
2020-03-21,30580,6940,335,62,1492,488,0,0,283160,52248,0,56,1492,13.28280508344817
2020-03-22,39808,9228,480,145,2173,627,0,0,335483,52323,0,56,2173,17.636603405768017
2020-03-23,50998,11190,582,102,2812,817,0,0,392506,57023,0,56,2812,19.62366062816758
2020-03-24,61894,10896,817,235,3938,1078,0,0,479351,86845,0,56,3938,12.546490874546606
2020-03-25,74551,12657,1058,241,5140,1951,0,167,561780,82429,0,56,5140,15.35503281612054
2020-03-26,92143,17592,1371,313,7805,2606,1299,258,668725,106945,0,56,7805,16.449576885314883
2020-03-27,111358,19215,1782,411,10887,3383,1792,293,769985,101260,0,56,10887,18.97590361445783
2020-03-28,131143,19785,2332,550,12393,4065,2174,390,881415,111430,0,56,12393,17.75554159562057
2020-03-29,150826,19683,2838,506,14055,4624,2456,433,968389,86974,0,56,14055,22.63090118886104
2020-03-30,171965,21139,3422,584,15892,5208,3087,449,1068981,100592,0,56,15892,21.01459360585335
2020-03-31,196965,25000,4331,909,18155,6700,3487,506,1183548,114567,0,56,18155,21.821292344217795
2020-04-01,223169,26204,5337,1006,20906,8002,3937,561,1306569,123021,0,56,20906,21.300428382146137
2020-04-02,251304,28135,6512,1175,22995,9322,4513,576,1437715,131146,0,56,22995,21.453189574977504
2020-04-03,283139,31835,7800,1288,25723,10511,4928,623,1580122,142407,0,56,25723,22.35494041725477
2020-04-04,316261,33122,9278,1478,30456,12243,5500,656,1811237,231115,0,56,30456,14.331393462129244
2020-04-05,342104,25843,10618,1340,32180,13374,5811,650,1940649,129412,0,56,32180,19.969554600809815
2020-04-06,370364,28260,11932,1314,36159,14257,7079,2961,2078383,137734,0,56,36159,20.5178096911438
2020-04-07,400780,30416,13974,2042,43849,14627,9978,4047,2248139,169756,0,56,43849,17.917481561771012
2020-04-08,431744,30964,15973,1999,45359,15959,10276,4142,2413733,165594,0,56,45359,18.69874512361559
2020-04-09,466736,34992,18027,2054,51323,16924,12445,5798,2584745,171012,0,56,51323,20.461721984422145
2020-04-10,500514,33778,20108,2081,53167,18923,12693,5937,2740516,155771,0,56,53167,21.684395683407054
2020-04-11,531837,31323,22187,2079,55563,20131,13856,5986,2899065,158549,0,56,55563,19.756037565673704
2020-04-12,560005,28168,23885,1698,55294,20825,14188,5962,3039684,140619,0,56,55294,20.031432452229073
2020-04-13,584141,24136,25515,1630,56283,23129,14199,6170,3165148,125464,0,56,56283,19.237390805330612
2020-04-14,610084,25943,27871,2356,59601,24595,14735,5981,3325178,160030,0,56,59601,16.21133537461726
2020-04-15,639918,29834,30412,2541,59930,25771,15302,6033,3474456,149278,0,56,59930,19.98553035276464
2020-04-16,671184,31266,32608,2196,59500,27032,15830,5940,3657502,183046,0,56,59500,17.080952328922784
